,Speed,TravelTime,DataAsOf,linkId
153513,50.33,136,7/5/2019 01:43:10,4616272
5806,59.03125,199,9/1/2019 06:29:05,4362252
1027270,14.90625,218,1/27/2019 13:08:12,4616325
937872,50.34375,92,9/25/2019 07:24:03,4763651
799193,13.671875,361,8/21/2019 16:48:05,4616255
790219,37.28,148,7/21/2019 11:58:13,4616252
649299,27.34375,304,12/17/2019 08:43:12,4616297
505460,44.73,439,7/14/2019 03:38:04,4616346
253565,0.0,0,11/7/2019 10:18:12,4616309
849059,58.40625,79,9/23/2019 00:28:04,4616246
1102523,38.53125,59,3/29/2019 13:18:03,4763648
330980,57.15625,87,9/9/2019 15:53:03,4616214
1029547,53.4375,30,10/27/2019 00:29:03,4616194
647336,49.09375,108,1/17/2019 18:13:15,4616300
180495,0.0,0,5/5/2019 18:47:13,4616282
731244,46.60,84,7/19/2019 23:34:03,4362249
700628,28.578125,84,4/18/2019 18:49:14,4456452
228831,62.125,75,5/7/2019 00:53:04,4616246
1133893,60.28125,100,3/30/2019 08:38:04,4616198
1093742,0.00,0,7/29/2019 07:43:14,4616210
670920,29.203125,242,10/18/2019 01:09:04,4616216
320278,1.240234375,2002,3/9/2019 08:03:04,4616341
526219,29.8125,71,3/14/2019 16:34:02,4616205
35374,50.9375,135,5/2/2019 00:49:03,4616272
1148561,26.703125,99,12/29/2019 20:38:11,4616197
98807,19.265625,118,5/3/2019 16:13:03,4763648
1032342,50.9375,91,1/27/2019 16:13:02,4763651
427361,61.5,64,10/11/2019 22:09:05,4616209
917615,48.46875,135,8/24/2019 17:58:03,4456505
1044119,31.0625,324,10/27/2019 09:19:10,4616328
300642,44.71875,132,10/8/2019 18:03:04,4616206
874947,0.0,0,12/23/2019 00:34:04,4616305
805644,40.375,250,1/21/2019 20:08:04,4616333
834874,54.0625,145,8/22/2019 14:47:03,4616213
143797,34.15625,210,3/4/2019 16:46:04,4616339
824541,51.5625,52,10/21/2019 21:25:03,4362314
990711,9.9375,262,6/26/2019 16:07:03,4616341
839265,58.40625,101,10/22/2019 06:18:03,4616206
769413,37.28125,532,5/20/2019 23:14:04,4616346
612341,36.65625,293,5/16/2019 21:52:05,4616276
436398,55.3125,45,4/12/2019 03:03:04,4616253
281731,49.6875,180,11/8/2019 03:19:10,4616298
508540,0.0,0,12/13/2019 19:48:11,4616310
717581,59.65625,83,4/19/2019 05:03:12,4616364
296349,54.0625,142,12/8/2019 12:08:07,4329483
629407,0.0,0,4/16/2019 23:39:12,4616282
201656,59.03125,99,12/6/2019 03:04:03,4616206
236441,58.40625,76,10/7/2019 03:29:10,4616260
534393,0.0,0,9/14/2019 21:57:11,4616319
916579,17.390625,142,3/24/2019 18:13:05,4456498
998702,52.8125,146,12/26/2019 03:29:08,4329483
919329,49.70,111,7/24/2019 19:58:04,4616192
964167,20.5,304,11/25/2019 05:48:04,4616324
305570,52.8125,206,8/8/2019 23:43:11,4616350
995484,41.625,172,5/26/2019 19:18:04,4456478
308649,47.21875,90,12/8/2019 19:34:04,4616226
658806,0.0,0,4/17/2019 17:33:14,4616282
651807,1.8603515625,2778,6/17/2019 22:17:03,4456494
308033,45.375,153,12/8/2019 19:09:03,4616225
934455,50.9375,108,2/24/2019 23:21:11,4616239
589100,0.0,0,2/16/2019 03:28:10,4616220
7158,49.08,155,7/1/2019 07:23:11,4616281
1110108,37.28125,171,1/29/2019 16:23:03,4456500
299144,52.8125,125,8/8/2019 19:43:04,4616193
104576,39.75,62,10/3/2019 19:33:03,4456498
1119659,28.578125,152,1/29/2019 22:18:03,4620314
164395,58.40625,187,11/5/2019 04:48:12,4616350
948225,0.0,0,8/25/2019 12:53:03,4616282
898614,45.96875,93,9/24/2019 07:08:13,4616226
883729,0.00,0,7/23/2019 22:12:04,4456502
851829,40.375,169,10/22/2019 13:53:11,4616332
911148,36.03,548,7/24/2019 14:53:04,4616346
894404,0.0,0,12/23/2019 12:12:08,4620314
729337,7.44921875,571,2/19/2019 17:30:03,4620314
381784,39.125,260,4/10/2019 17:58:04,4616333
69312,0.0,0,11/2/2019 20:34:12,4616325
1120504,47.84375,112,1/29/2019 22:58:12,4616300
362301,0.0,0,4/10/2019 06:13:10,4620331
686849,52.81,125,7/18/2019 20:03:05,4616193
763011,27.953125,243,5/20/2019 19:14:05,4616272
326449,62.125,52,1/9/2019 11:43:02,4616212
979443,0.0,0,2/26/2019 03:02:12,4616338
453356,54.6875,137,4/12/2019 13:13:03,4616215
909374,12.421875,570,6/24/2019 13:54:12,4616235
41756,9.3203125,472,4/2/2019 04:08:11,4616250
162502,20.5,271,6/5/2019 07:28:03,4329473
199686,0.0,0,9/6/2019 06:23:11,4616319
523838,42.25,93,2/14/2019 11:23:07,4362249
785527,49.6875,238,1/21/2019 07:43:05,4362252
933369,44.125,48,8/25/2019 03:43:03,4763655
861336,39.125,260,4/22/2019 20:03:04,4616333
38459,58.40625,46,1/2/2019 01:48:17,4362314
560873,50.34375,56,4/15/2019 06:13:04,4616200
1101549,38.53125,187,6/29/2019 12:44:03,4456477
653416,45.96875,85,11/17/2019 10:43:03,4362249
562735,18.015625,448,4/15/2019 07:23:05,4456476
26559,43.5,171,12/1/2019 17:54:10,4616261
477321,26.703125,89,9/13/2019 10:43:03,4456450
299124,0.0,0,9/8/2019 20:02:05,4456494
691134,6.2109375,423,11/18/2019 09:24:03,4456479
529048,52.8125,141,10/14/2019 11:08:11,4616261
152010,48.46875,141,9/5/2019 00:58:05,4616332
345706,57.78125,160,5/10/2019 01:04:05,4616354
31918,51.5625,27,2/1/2019 21:28:05,4616208
116113,59.65625,48,5/4/2019 02:54:12,4616211
270372,48.46875,92,4/7/2019 22:39:12,4616260
965462,9.94,232,7/26/2019 00:28:04,4456450
71346,33.5625,70,8/2/2019 22:55:03,4456450
265165,47.84375,44,1/7/2019 21:53:22,4616219
484325,0.0,0,3/13/2019 14:10:03,4763655
