,Speed,TravelTime,DataAsOf,linkId
791915,49.6875,107,10/21/2017 09:18:32,4616299
649161,41.0,201,2/16/2017 20:47:46,4620310
546347,50.9375,147,11/15/2017 02:33:13,4616215
436237,44.125,97,9/12/2017 05:27:14,4616220
122417,59.03125,112,6/3/2017 05:59:00,4616312
22384,45.96875,222,1/1/2017 18:57:07,4616333
185923,52.8125,68,4/5/2017 01:33:36,4616204
688492,21.125,936,6/23/2017 20:46:57,4620343
126858,0.0,0,11/4/2017 07:12:33,4362251
176423,31.0625,320,6/6/2017 17:27:03,4616318
637753,57.15625,161,7/18/2017 02:45:46,4616355
257623,54.0625,200,4/5/2017 01:33:36,4616276
487328,0.0,0,8/17/2017 10:43:05,4763650
671595,52.1875,48,11/18/2017 08:03:34,4456498
900144,52.1875,378,2/28/2017 01:46:29,4616346
614453,16.15625,339,11/16/2017 20:38:22,4329508
670396,54.0625,73,1/22/2017 03:02:06,4616260
394128,52.8125,143,6/14/2017 07:04:43,4616215
60112,8.078125,1120,5/5/2017 14:41:50,4616355
52433,47.21875,168,4/5/2017 01:33:36,4616341
635479,41.0,53,1/20/2017 17:47:05,4616218
401811,50.9375,152,3/14/2017 01:41:54,4616353
857499,51.5625,48,11/23/2017 02:48:15,4456498
905493,0.0,0,12/24/2017 12:06:24,4616232
1094837,54.0625,151,10/29/2017 04:18:15,4616228
859912,50.9375,108,1/27/2017 12:16:30,4616266
255378,16.765625,310,9/7/2017 13:48:03,4456510
128642,27.953125,243,12/4/2017 07:27:20,4616272
1099645,56.53125,193,10/29/2017 07:33:16,4616351
22029,22.984375,378,2/1/2017 17:11:15,4616281
164986,3.109375,1484,6/2/2017 19:23:19,4456502
232407,1.8603515625,1946,5/8/2017 22:35:00,4616210
495226,50.9375,46,4/5/2017 01:33:47,4763655
458495,4.96875,1433,2/14/2017 13:36:40,4620315
479327,32.9375,168,6/16/2017 11:39:04,4329473
747478,26.09375,81,10/20/2017 05:53:23,4616219
376774,9.9375,1612,2/11/2017 06:40:38,4362250
703976,14.90625,240,4/26/2017 14:34:49,4456511
525575,0.0,0,8/18/2017 19:08:11,4616215
156820,64.0,143,6/3/2017 05:59:00,4616354
368605,14.2890625,435,7/7/2017 22:02:26,4616324
849465,41.625,197,9/22/2017 21:53:19,4616297
55641,55.3125,136,11/2/2017 11:17:28,4616247
391935,55.90625,55,6/9/2017 01:17:37,4763648
302950,8.703125,261,5/12/2017 18:19:03,4616338
209976,44.125,105,5/9/2017 04:42:03,4456497
552088,0.0,0,11/15/2017 06:08:23,4620330
538193,27.953125,89,12/14/2017 20:27:16,4456498
881681,51.5625,55,11/23/2017 17:43:17,4616211
859841,55.3125,199,2/26/2017 21:10:28,4616351
764639,44.75,47,6/23/2017 22:14:56,4763655
652865,13.671875,530,10/17/2017 19:18:28,4616225
348662,49.71875,146,2/11/2017 20:44:18,4620298
914001,0.0,0,9/23/2017 10:36:10,4616200
506754,21.125,107,4/5/2017 01:33:36,4616323
