"Id","Speed","TravelTime","Status","DataAsOf","linkId"
"124","26.71","267","0","12/9/2019 08:48:03","4456501"
"170","57.16","65","0","12/26/2019 09:03:13","4616356"
"325","25.47","217","0","12/20/2019 11:19:03","4329472"
"422","40.38","221","0","12/3/2019 05:28:11","4616298"
"2","0.00","0","-","12/24/2019 20:33:11","4616325"
"257","13.04","959","0","12/4/2019 15:39:03","4616318"
"344","4.34","991","0","12/19/2019 11:37:08","4620330"
"157","9.32","1593","0","12/10/2019 15:14:10","4616271"
"168","19.88","215","0","12/24/2019 11:54:05","4456496"
"263","38.52","55","0","12/18/2019 19:33:04","4763657"
"338","49.70","103","0","12/15/2019 07:13:03","4616255"
"436","64.62","80","0","12/21/2019 12:49:03","4616202"
"142","50.33","148","0","12/29/2019 22:38:04","4616261"
"186","51.57","160","0","12/26/2019 00:58:09","4620315"
"148","50.33","300","0","12/26/2019 03:19:11","4616257"
"338","48.46","106","0","12/26/2019 01:08:04","4616255"
"207","31.68","239","0","12/7/2019 16:48:11","4616352"
"223","17.39","148","0","12/30/2019 12:19:12","4616341"
"402","42.25","154","0","12/4/2019 13:54:02","4456505"
"331","49.70","156","0","12/16/2019 19:03:13","4616353"
"206","57.78","203","0","12/7/2019 04:18:03","4362252"
"425","30.44","355","0","12/1/2019 06:58:04","4616276"
"168","25.47","168","0","12/13/2019 15:53:03","4456496"
"350","46.60","177","0","12/7/2019 23:34:03","4616196"
"329","37.28","148","-","12/1/2019 08:02:08","4329508"
"395","43.49","187","0","12/25/2019 20:18:03","4456476"
"325","7.45","725","0","12/7/2019 14:53:03","4329472"
"265","57.16","129","0","12/7/2019 01:23:03","4620298"
"106","10.56","214","0","12/12/2019 14:54:03","4616323"
"427","19.88","448","0","12/9/2019 07:23:11","4616259"
"439","56.54","50","0","12/14/2019 11:23:10","4616200"
"316","52.19","291","0","12/27/2019 19:23:03","4456516"
"350","39.76","207","0","12/13/2019 19:33:04","4616196"
"186","0.00","0","-","12/15/2019 04:12:55","4620315"
"344","11.80","377","0","12/19/2019 03:38:08","4620330"
"208","47.84","230","0","12/27/2019 19:53:12","4616350"
"390","54.68","72","0","12/10/2019 09:19:06","4616209"
"149","16.15","444","0","12/1/2019 15:03:09","4616339"
"126","49.08","152","0","12/12/2019 20:49:04","4616247"
"149","34.17","208","0","12/9/2019 04:58:12","4616339"
