CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
07/26/2014,22:10,BROOKLYN,11206,40.7008162,-73.9544608,"(40.7008162, -73.9544608)",LEE AVENUE                      ,MIDDLETON STREET                ,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,1000461,PASSENGER VEHICLE,,,,
04/23/2013,17:25,QUEENS,11385,40.7029977,-73.9110681,"(40.7029977, -73.9110681)",CYPRESS AVENUE                  ,GROVE STREET                    ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,216139,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/07/2014,14:30,MANHATTAN,10001,40.7546224,-73.9971269,"(40.7546224, -73.9971269)",DYER AVENUE                     ,WEST 35 STREET                  ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,408899,VAN,PASSENGER VEHICLE,,,
06/10/2021,4:20,BROOKLYN,11218,40.645805,-73.9707,"(40.645805, -73.9707)",,,488       CONEY ISLAND AVENUE,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4426034,Sedan,Carry All,,,
04/27/2015,13:30,BROOKLYN,11233,40.6753803,-73.9081956,"(40.6753803, -73.9081956)",PACIFIC STREET                  ,EASTERN PARKWAY                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3210102,BUS,UNKNOWN,,,
05/19/2015,20:40,MANHATTAN,10023,40.7742808,-73.9773695,"(40.7742808, -73.9773695)",CENTRAL PARK WEST               ,WEST 69 STREET                  ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Other Vehicular,,,,3223475,TAXI,PASSENGER VEHICLE,,,
08/20/2018,10:34,QUEENS,11375,40.724968,-73.840355,"(40.724968, -73.840355)",JEWEL AVENUE                    ,112 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3964854,Sedan,Station Wagon/Sport Utility Vehicle,,,
06/11/2019,8:08,,,40.706608,-74.00204,"(40.706608, -74.00204)",FDR DRIVE                       ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4149524,Sedan,Station Wagon/Sport Utility Vehicle,,,
04/10/2018,18:26,BRONX,10461,40.85543,-73.855354,"(40.85543, -73.855354)",WILLIAMSBRIDGE ROAD             ,LYDIG AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3879143,Station Wagon/Sport Utility Vehicle,Sedan,,,
02/05/2016,17:40,BRONX,10451,40.8106989,-73.9313129,"(40.8106989, -73.9313129)",CANAL PLACE                     ,EAST 135 STREET                 ,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3384523,PASSENGER VEHICLE,VAN,,,
10/18/2012,11:50,BROOKLYN,11213,40.6686479,-73.9283482,"(40.6686479, -73.9283482)",ROCHESTER AVENUE                ,EASTERN PARKWAY                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,173131,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,13:45,QUEENS,11354,40.766308,-73.81424,"(40.766308, -73.81424)",150 PLACE                       ,35 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3590007,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/08/2012,8:40,MANHATTAN,10036,40.7591644,-73.9883913,"(40.7591644, -73.9883913)",WEST 45 STREET                  ,8 AVENUE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,27588,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/01/2012,16:10,BROOKLYN,11217,40.6850255,-73.9861183,"(40.6850255, -73.9861183)",BOND STREET                     ,BERGEN STREET                   ,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,188294,UNKNOWN,BICYCLE,,,
10/25/2013,11:30,STATEN ISLAND,10301,40.6157815,-74.1030252,"(40.6157815, -74.1030252)",CLOVE ROAD                      ,NIAGARA STREET                  ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,289580,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
