CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
07/13/2020,4:31,BROOKLYN,11204,40.61913,-73.99019,"(40.61913, -73.99019)",18 AVENUE                       ,65 STREET,,5,0,1,0,0,0,4,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,4328209,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Sedan,Sedan,Sedan
07/31/2012,13:15,,,40.7511711,-73.7270627,"(40.7511711, -73.7270627)",,,,2,0,0,0,0,0,2,0,Turning Improperly,Unspecified,,,,3016800,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/16/2019,16:30,BROOKLYN,11229,40.594383,-73.94072,"(40.594383, -73.94072)",,,3677      NOSTRAND AVENUE               ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4171539,Sedan,Sedan,,,
03/23/2018,14:02,BROOKLYN,11204,40.622353,-73.98475,"(40.622353, -73.98475)",,,1864      58 STREET                     ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3869858,Sedan,Sedan,,,
12/29/2017,21:00,,,40.68064,-73.95338,"(40.68064, -73.95338)",FULTON STREET                   ,,,0,0,0,0,0,0,0,0,Other Vehicular,,,,,3818729,Sedan,,,,
11/15/2016,9:00,QUEENS,11102,40.766895,-73.921394,"(40.766895, -73.921394)",31 STREET                       ,30 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,3560615,Station Wagon/Sport Utility Vehicle,Bus,,,
04/26/2017,9:35,,,,,,HORACE HARDING EXPRESSWAY       ,UTOPIA PARKWAY,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3657769,Sedan,Sedan,,,
11/15/2019,14:40,,,40.708374,-73.84271,"(40.708374, -73.84271)",JACKIE ROBINSON PKWY            ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4242602,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/30/2017,8:20,BROOKLYN,11236,40.64024,-73.91947,"(40.64024, -73.91947)",FOSTER AVENUE                   ,RALPH AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3680553,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
02/21/2017,14:00,,,40.663834,-73.99452,"(40.663834, -73.99452)",19 STREET                       ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3619578,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
05/26/2014,16:35,MANHATTAN,10018,40.7583771,-73.9943762,"(40.7583771, -73.9943762)",WEST 41 STREET                  ,DYER AVENUE                     ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,341187,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/07/2013,2:50,BROOKLYN,11230,40.6150947,-73.9643595,"(40.6150947, -73.9643595)",EAST 10 STREET                  ,AVENUE N                        ,,1,0,1,0,0,0,0,0,Unspecified,,,,,132130,OTHER,,,,
05/21/2017,5:00,,,40.77855,-73.925674,"(40.77855, -73.925674)",TRIBOROUGH BRIDGE               ,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3680357,Sedan,Sedan,,,
04/04/2018,0:00,QUEENS,11385,40.70403,-73.90974,"(40.70403, -73.90974)",,,607       SENECA AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,3875087,Sedan,,,,
11/05/2017,15:35,,,40.8617,-73.89139,"(40.8617, -73.89139)",EAST FORDHAM ROAD               ,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3784129,Station Wagon/Sport Utility Vehicle,Taxi,,,
09/25/2018,15:50,MANHATTAN,10011,40.742226,-73.99702,"(40.742226, -73.99702)",WEST 20 STREET                  ,7 AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Passing Too Closely,,,,3988943,Sedan,Taxi,,,
10/16/2019,8:30,,,40.67887,-73.83419,"(40.67887, -73.83419)",ROCKAWAY BOULEVARD              ,,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4223920,Station Wagon/Sport Utility Vehicle,,,,
01/21/2013,20:40,BROOKLYN,11234,40.6098096,-73.9224976,"(40.6098096, -73.9224976)",AVENUE U                        ,FLATBUSH AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,127084,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2020,20:05,BROOKLYN,11239,,,,,,632       GATEWAY DRIVE                 ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4304431,Station Wagon/Sport Utility Vehicle,Sedan,,,
08/07/2012,11:00,QUEENS,11374,40.7286583,-73.8632602,"(40.7286583, -73.8632602)",BOOTH STREET                    ,63 DRIVE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,264332,PASSENGER VEHICLE,UNKNOWN,,,
02/13/2015,12:37,BROOKLYN,11232,40.6502133,-74.0157592,"(40.6502133, -74.0157592)",48 STREET                       ,2 AVENUE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3168857,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/11/2016,20:30,QUEENS,11358,40.761593,-73.79344,"(40.761593, -73.79344)",UTOPIA PARKWAY                  ,39 AVENUE,,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3518134,Sedan,Station Wagon/Sport Utility Vehicle,,,
01/04/2017,11:30,,,40.722095,-73.77772,"(40.722095, -73.77772)",GRAND CENTRAL PKWY              ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3594768,Station Wagon/Sport Utility Vehicle,Sedan,,,
03/06/2014,11:10,,,,,,CLOVE ROAD                      ,NARROWS ROAD NORTH              ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,290714,PASSENGER VEHICLE,UNKNOWN,,,
09/19/2015,16:20,MANHATTAN,10034,40.8613104,-73.921232,"(40.8613104, -73.921232)",WEST 202 STREET                 ,10 AVENUE                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3299453,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/05/2017,23:30,,,40.669094,-73.89711,"(40.669094, -73.89711)",SUTTER AVENUE                   ,,,0,0,0,0,0,0,0,0,Pavement Defective,,,,,3705574,Sedan,,,,
02/27/2015,16:00,,,,,,,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Fatigued/Drowsy,,,,3177724,PASSENGER VEHICLE,BUS,,,
04/14/2019,14:55,BROOKLYN,11223,40.593327,-73.964645,"(40.593327, -73.964645)",AVENUE W                        ,OCEAN PARKWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4114714,Sedan,Sedan,,,
05/26/2015,15:00,QUEENS,11421,40.6867232,-73.8538956,"(40.6867232, -73.8538956)",ATLANTIC AVENUE                 ,88 STREET                       ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3227805,PASSENGER VEHICLE,,,,
01/23/2016,23:23,BRONX,10458,40.8584625,-73.886314,"(40.8584625, -73.886314)",,,F/O 2501 HOFFMAN STREET                 ,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3376171,AMBULANCE,PASSENGER VEHICLE,,,
06/13/2013,14:30,,,,,,FILLMORE STREET                 ,FRANKLIN AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,288511,PASSENGER VEHICLE,UNKNOWN,,,
05/10/2019,17:30,,,40.739082,-73.81611,"(40.739082, -73.81611)",LONG ISLAND EXPRESSWAY          ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,4129316,Sedan,Station Wagon/Sport Utility Vehicle,,,
10/21/2015,15:00,BROOKLYN,11218,40.6355523,-73.9780219,"(40.6355523, -73.9780219)",MC DONALD AVENUE                ,DITMAS AVENUE                   ,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3319606,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
09/22/2017,21:02,,,40.682568,-73.79266,"(40.682568, -73.79266)",116 AVENUE                      ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3755286,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
06/06/2019,16:30,,,,,,QUEENS MIDTOWN TUNNEL           ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4147290,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/04/2017,8:45,,,40.743336,-73.9511,"(40.743336, -73.9511)",JACKSON AVENUE                  ,11 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3644982,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/11/2018,19:00,,,40.704494,-73.81743,"(40.704494, -73.81743)",VAN WYCK EXPWY                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4042878,Sedan,Sedan,,,
01/08/2019,6:53,QUEENS,11368,40.757072,-73.85492,"(40.757072, -73.85492)",114 STREET                      ,34 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4064192,Sedan,Sedan,,,
06/28/2016,16:10,BROOKLYN,11218,40.646378,-73.97085,"(40.646378, -73.97085)",CONEY ISLAND AVENUE             ,CHURCH AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3471494,Log,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
01/06/2013,7:05,,,,,,,,,2,0,0,0,0,0,2,0,Other Vehicular,Driver Inattention/Distraction,,,,2879250,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/31/2019,14:30,BROOKLYN,11205,40.69728,-73.95857,"(40.69728, -73.95857)",,,65        FRANKLIN AVENUE               ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4267463,Station Wagon/Sport Utility Vehicle,Van,,,
06/16/2016,9:45,MANHATTAN,10019,40.762234,-73.98987,"(40.762234, -73.98987)",WEST 48 STREET                  ,9 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3463988,2 dr sedan,2 dr sedan,,,
04/28/2017,18:00,QUEENS,11412,40.687286,-73.758865,"(40.687286, -73.758865)",190 STREET                      ,120 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3659295,Station Wagon/Sport Utility Vehicle,Sedan,,,
02/09/2015,17:15,BROOKLYN,11238,40.6811205,-73.9644216,"(40.6811205, -73.9644216)",ATLANTIC AVENUE                 ,WASHINGTON AVENUE               ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,,,,,3168278,PASSENGER VEHICLE,,,,
09/21/2018,13:00,,,40.69519,-73.84296,"(40.69519, -73.84296)",104 STREET                      ,JAMAICA AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3985615,Sedan,,,,
10/02/2018,7:40,BROOKLYN,11218,40.64412,-73.98907,"(40.64412, -73.98907)",FORT HAMILTON PARKWAY           ,37 STREET,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,3992288,Sedan,Bike,,,
09/21/2015,15:40,,,40.7541077,-73.7232034,"(40.7541077, -73.7232034)",,,,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,,,,3301935,BUS,PASSENGER VEHICLE,,,
03/29/2014,12:30,MANHATTAN,10022,40.7602226,-73.967462,"(40.7602226, -73.967462)",EAST 57 STREET                  ,3 AVENUE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,312484,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/28/2013,21:10,,,,,,,,,3,0,0,0,0,0,3,0,Outside Car Distraction,,,,,2957439,SPORT UTILITY / STATION WAGON,,,,
05/19/2014,10:00,QUEENS,11412,40.7079625,-73.755417,"(40.7079625, -73.755417)",109 AVENUE                      ,203 STREET                      ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,337888,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
09/17/2018,8:00,,,40.60235,-74.189606,"(40.60235, -74.189606)",SOUTH AVENUE                    ,CHELSEA ROAD,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,3982328,Sedan,Sedan,,,
06/14/2018,20:48,MANHATTAN,10019,40.761864,-73.97541,"(40.761864, -73.97541)",,,700       5 AVENUE                      ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Following Too Closely,,,,3921146,Sedan,Station Wagon/Sport Utility Vehicle,,,
06/24/2014,11:59,BRONX,10463,40.8843193,-73.9137368,"(40.8843193, -73.9137368)",WEST 232 STREET                 ,FAIRFIELD AVENUE                ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,356879,PASSENGER VEHICLE,UNKNOWN,,,
08/18/2015,21:15,QUEENS,11105,40.7695595,-73.9060657,"(40.7695595, -73.9060657)",43 STREET                       ,23 AVENUE                       ,,0,0,0,0,0,0,0,0,Physical Disability,Unspecified,,,,3280780,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
08/16/2015,2:30,BRONX,10457,40.8388747,-73.9026466,"(40.8388747, -73.9026466)",CLAREMONT PARKWAY               ,WASHINGTON AVENUE               ,,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,3278428,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
07/02/2014,22:22,MANHATTAN,10033,40.8442462,-73.9337142,"(40.8442462, -73.9337142)",AMSTERDAM AVENUE                ,WEST 175 STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,361412,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
02/25/2015,19:55,,,,,,BROADWAY                        ,KEAP STREET                     ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3176087,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,VAN,,
08/22/2016,15:38,,,40.805073,-73.92331,"(40.805073, -73.92331)",WILLIS AVENUE BRIDGE APPROACH   ,BRUCKNER BOULEVARD,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3505926,Station Wagon/Sport Utility Vehicle,Carry All,,,
10/12/2017,18:15,,,,,,GRAND CENTRAL PARKWAY           ,WEST 57 STREET,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,3768386,Sedan,Motorcycle,,,
04/27/2016,18:00,QUEENS,11432,40.710068,-73.79462,"(40.710068, -73.79462)",,,168-03    HILLSIDE AVENUE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3425411,4 dr sedan,4 dr sedan,,,
07/30/2014,14:00,MANHATTAN,10035,40.8063523,-73.9380866,"(40.8063523, -73.9380866)",EAST 127 STREET                 ,PARK AVENUE                     ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,1000783,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/13/2019,14:30,QUEENS,11417,40.67175,-73.84664,"(40.67175, -73.84664)",,,138-01    WHITELAW STREET               ,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,,,,,4080337,Sedan,,,,
08/19/2013,14:03,MANHATTAN,10035,40.8082795,-73.9387929,"(40.8082795, -73.9387929)",EAST 129 STREET                 ,MADISON AVENUE                  ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,61321,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/14/2017,9:00,QUEENS,11367,40.717937,-73.816185,"(40.717937, -73.816185)",146 STREET                      ,UNION TURNPIKE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3750091,Station Wagon/Sport Utility Vehicle,Sedan,,,
06/07/2018,15:20,,,40.666306,-73.79171,"(40.666306, -73.79171)",BELT PARKWAY                    ,,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,,,3917669,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
12/25/2019,17:40,BRONX,10460,,,,ROSEDALE AVENUE                 ,CROSS BRONX EXPRESSWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4266015,Sedan,Sedan,,,
07/21/2014,12:43,QUEENS,11413,40.6656356,-73.7581495,"(40.6656356, -73.7581495)",SPRINGFIELD BOULEVARD           ,SOUTH CONDUIT AVENUE            ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,997020,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/29/2016,17:00,BROOKLYN,11228,,,,10 AVENUE                       ,77 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3416732,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
06/15/2016,22:45,BROOKLYN,11208,40.683872,-73.8743,"(40.683872, -73.8743)",,,195       EUCLID AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3462198,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
03/13/2019,14:40,,,40.759895,-73.823944,"(40.759895, -73.823944)",BOWNE STREET                    ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4096401,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/05/2020,13:00,BROOKLYN,11233,40.682636,-73.91662,"(40.682636, -73.91662)",,,497       BAINBRIDGE STREET             ,0,0,0,0,0,0,0,0,Unspecified,,,,,4373413,Sedan,,,,
03/16/2018,18:20,QUEENS,11423,40.71486,-73.75922,"(40.71486, -73.75922)",93 AVENUE                       ,201 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3864063,Sedan,,,,
07/09/2019,8:54,MANHATTAN,10014,40.730717,-74.00446,"(40.730717, -74.00446)",7 AVENUE SOUTH                  ,BEDFORD STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4167746,Sedan,Sedan,,,
07/31/2020,11:05,BROOKLYN,11220,40.632633,-74.01254,"(40.632633, -74.01254)",65 STREET                       ,8 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4333811,Sedan,Sedan,,,
05/22/2017,14:45,,,40.741806,-73.8463,"(40.741806, -73.8463)",G.C.P / L.I.E. (CDR)            ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3675716,Sedan,Sedan,,,
07/15/2013,14:35,MANHATTAN,10013,40.719058,-74.0124422,"(40.719058, -74.0124422)",WEST STREET                     ,HARRISON STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3235,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/06/2018,18:50,MANHATTAN,10011,40.741077,-74.001564,"(40.741077, -74.001564)",8 AVENUE                        ,WEST 16 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4039640,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
06/10/2021,19:43,,,40.829327,-73.84741,"(40.829327, -73.84741)",CROSS BRONX EXPY,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,4425830,Sedan,Sedan,Tractor Truck Diesel,,
04/07/2016,15:21,MANHATTAN,10025,,,,WEST 100 STREET                 ,AMSTERDAM AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3409620,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
12/10/2014,6:23,,,40.8450368,-73.9450698,"(40.8450368, -73.9450698)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3134083,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/10/2012,11:30,QUEENS,11370,40.7654254,-73.8900034,"(40.7654254, -73.8900034)",ASTORIA BOULEVARD               ,79 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,279727,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/30/2012,8:55,QUEENS,11354,40.7639417,-73.8281463,"(40.7639417, -73.8281463)",NORTHERN BOULEVARD              ,UNION STREET                    ,,5,0,0,0,0,0,5,0,Unspecified,Unspecified,,,,246978,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
08/01/2013,12:31,BROOKLYN,11233,40.6742806,-73.9166906,"(40.6742806, -73.9166906)",SARATOGA AVENUE                 ,BERGEN STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,162243,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/18/2017,9:54,MANHATTAN,10014,40.733727,-74.00281,"(40.733727, -74.00281)",7 AVENUE SOUTH                  ,WEST 4 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3653191,Sedan,Station Wagon/Sport Utility Vehicle,,,
10/13/2017,19:05,QUEENS,11101,40.752403,-73.92442,"(40.752403, -73.92442)",NORTHERN BOULEVARD              ,STEINWAY STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3770286,Sedan,Sedan,,,
07/20/2015,7:45,BROOKLYN,11239,40.641653,-73.8791922,"(40.641653, -73.8791922)",LOUISIANA AVENUE                ,SEAVIEW AVENUE                  ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3261799,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/30/2018,17:28,,,40.88113,-73.81706,"(40.88113, -73.81706)",HUTCHINSON RIVER PARKWAY        ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3873594,Sedan,Sedan,,,
04/29/2018,2:01,,,,,,CROSS BRONX EXPWY SERVICE ROAD  ,ROSEDALE AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3890103,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/08/2019,17:43,BRONX,10463,40.872337,-73.90332,"(40.872337, -73.90332)",,,2757      KINGSBRIDGE TERRACE           ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4111939,Sedan,Van,,,
06/20/2015,13:09,MANHATTAN,10128,40.7832478,-73.9447234,"(40.7832478, -73.9447234)",EAST 96 STREET                  ,1 AVENUE                        ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3244060,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/20/2016,23:15,,,40.788555,-73.7787,"(40.788555, -73.7787)",CROSS ISLAND PARKWAY            ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3523994,Station Wagon/Sport Utility Vehicle,Sedan,Pick-up Truck,,
11/26/2017,13:00,BROOKLYN,11221,40.690804,-73.94337,"(40.690804, -73.94337)",,,749       LAFAYETTE AVENUE              ,0,0,0,0,0,0,0,0,Unspecified,,,,,3799446,Sedan,,,,
11/07/2014,20:03,MANHATTAN,10021,40.7697535,-73.9545761,"(40.7697535, -73.9545761)",EAST 75 STREET                  ,1 AVENUE                        ,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,2820193,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/04/2012,18:30,BROOKLYN,11238,40.671645,-73.9625737,"(40.671645, -73.9625737)",WASHINGTON AVENUE               ,EASTERN PARKWAY                 ,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,152730,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/26/2018,12:22,BRONX,10467,40.879883,-73.880486,"(40.879883, -73.880486)",,,111       EAST 210 STREET               ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3988279,Sedan,Sedan,,,
07/11/2021,12:48,BROOKLYN,11221,40.68607,-73.91605,"(40.68607, -73.91605)",BROADWAY,WEIRFIELD STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,Unspecified,,,4436074,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
06/11/2020,16:40,,,40.786785,-73.80971,"(40.786785, -73.80971)",CROSS ISLAND PARKWAY            ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,4319386,Pick-up Truck,Sedan,,,
06/15/2013,19:27,BROOKLYN,11236,40.6411033,-73.9046251,"(40.6411033, -73.9046251)",FLATLANDS AVENUE                ,EAST 92 STREET                  ,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,146241,SPORT UTILITY / STATION WAGON,,,,
02/26/2019,16:07,,,40.607838,-74.0872,"(40.607838, -74.0872)",STATEN ISLAND EXPRESSWAY        ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4087607,Sedan,Pick-up Truck,,,
12/17/2012,12:00,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2983264,UNKNOWN,UNKNOWN,,,
12/20/2012,16:15,MANHATTAN,10010,40.7388307,-73.9831481,"(40.7388307, -73.9831481)",3 AVENUE                        ,EAST 23 STREET                  ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,22879,SPORT UTILITY / STATION WAGON,BUS,,,
03/04/2016,20:35,,,40.8040166,-73.9309605,"(40.8040166, -73.9309605)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3399831,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/13/2017,13:30,,,40.82472,-73.87147,"(40.82472, -73.87147)",BRUCKNER BOULEVARD              ,METCALF AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3669781,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/30/2017,15:24,BRONX,10452,40.83927,-73.92257,"(40.83927, -73.92257)",SHAKESPEARE AVENUE              ,WEST 169 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3818769,Sedan,Taxi,,,
11/22/2017,21:00,BROOKLYN,11207,40.675682,-73.89758,"(40.675682, -73.89758)",,,2620      ATLANTIC AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3796317,Station Wagon/Sport Utility Vehicle,,,,
12/30/2017,14:20,,,40.78961,-73.97362,"(40.78961, -73.97362)",WEST 89 STREET                  ,,,1,0,0,0,0,0,1,0,Unspecified,,,,,3818859,Taxi,,,,
12/25/2013,21:50,QUEENS,11433,40.7006979,-73.7831993,"(40.7006979, -73.7831993)",107 AVENUE                      ,173 STREET                      ,,0,0,0,0,0,0,0,0,Unspecified,,,,,212561,PASSENGER VEHICLE,,,,
03/06/2019,16:02,BRONX,10453,40.84843,-73.91299,"(40.84843, -73.91299)",DAVIDSON AVENUE                 ,WEST 176 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4092436,Taxi,Bus,,,
